,flight_year,flight_month,carrier,carrier_name,locationID,airport_name,arr_flights,arr_del15,carrier_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,weather_delay,nas_delay,security_delay,late_aircraft_delay
926,2014,4,US,US Airways Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",7624.0,1058.0,262.15,1.41,351.84,55.0,5.0,690.0,13641.0,32.0,19377.0
927,2014,4,US,US Airways Inc.,EWR,"Newark, NJ: Newark Liberty International",360.0,115.0,25.3,0.28,7.46,8.0,0.0,149.0,5685.0,5.0,528.0
929,2014,4,US,US Airways Inc.,MCO,"Orlando, FL: Orlando International",753.0,153.0,59.98,0.0,24.15,5.0,2.0,7.0,2574.0,0.0,1499.0
934,2014,4,US,US Airways Inc.,ORD,"Chicago, IL: Chicago O'Hare International",597.0,146.0,49.26,0.97,26.07,2.0,0.0,0.0,3364.0,25.0,1297.0
935,2014,4,US,US Airways Inc.,JFK,"New York, NY: John F. Kennedy International",266.0,48.0,21.01,0.43,3.8,1.0,2.0,22.0,1312.0,18.0,248.0
938,2014,4,US,US Airways Inc.,LAS,"Las Vegas, NV: McCarran International",506.0,84.0,36.66,1.0,13.78,4.0,0.0,6.0,1011.0,24.0,646.0
939,2014,4,US,US Airways Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",445.0,73.0,27.33,0.22,16.72,5.0,0.0,0.0,918.0,4.0,958.0
942,2014,4,US,US Airways Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",473.0,89.0,32.88,0.26,18.13,2.0,4.0,0.0,1093.0,12.0,1516.0
954,2014,4,US,US Airways Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",265.0,55.0,23.94,0.17,9.34,1.0,0.0,0.0,559.0,8.0,552.0
955,2014,4,US,US Airways Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",555.0,123.0,42.21,0.12,23.41,5.0,1.0,71.0,1984.0,6.0,1560.0
972,2014,4,US,US Airways Inc.,MIA,"Miami, FL: Miami International",330.0,69.0,38.73,0.66,7.45,1.0,1.0,0.0,660.0,23.0,402.0
1001,2014,4,VX,Virgin America,SFO,"San Francisco, CA: San Francisco International",1426.0,237.0,34.15,0.61,60.65,2.0,1.0,517.0,11268.0,11.0,4755.0
